Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.3076923076923077,0.8461538461538461,0.4230769230769231,0.8461538461538461,0.9615384615384616
CARDINAL,105,0.2857142857142857,0.9047619047619048,0.3142857142857143,0.8285714285714286,0.8952380952380953
QUANTITY,1,0.0,0.0,0.0,1.0,0.0
ORDINAL,3,1.0,1.0,1.0,0.6666666666666666,1.0
MONEY,4,0.5,0.5,0.5,1.0,1.0
PERCENT,2,0.5,1.0,0.5,0.5,1.0
TIME,5,0.4,1.0,0.6,0.6,0.8
PERSON,744,0.23521505376344087,0.9489247311827957,0.2970430107526882,0.8938172043010753,0.9314516129032258
GPE,296,0.14864864864864866,0.9324324324324325,0.2905405405405405,0.9459459459459459,0.9459459459459459
ORG,380,0.2026315789473684,0.9289473684210526,0.26842105263157895,0.8842105263157894,0.9236842105263158
NORP,58,0.29310344827586204,0.9655172413793104,0.3103448275862069,0.8448275862068966,0.9310344827586207
LOC,32,0.125,0.9375,0.15625,0.96875,0.84375
unknown,189,0.31216931216931215,0.8306878306878307,0.35978835978835977,0.7619047619047619,0.8994708994708994
Overall,1871,0.22982362373062534,0.9241047568145376,0.3014430785676109,0.880277926242651,0.9257081774452165
